tau,Ratio_Rgen_Req,Q_avg,lambda_max
0.5,0.33783783783783783,0.03988975747282788,-3.867546720740923e-05
0.5353535353535354,0.36172536172536174,0.08708941043309981,6.370975144601328e-05
0.5707070707070707,0.38561288561288565,0.08708941043309981,6.370975144601328e-05
0.6060606060606061,0.4095004095004095,0.1161444487079849,-2.4470869843573446e-06
0.6414141414141414,0.4333879333879334,0.13372729021001215,6.324986241659879e-05
0.6767676767676768,0.4572754572754573,0.14368411862697072,-4.904767558167277e-05
0.7121212121212122,0.4811629811629812,0.14368411862697072,-4.904767558167277e-05
0.7474747474747474,0.505050505050505,0.14867797698832,6.5390573791654334e-06
0.7828282828282829,0.528938028938029,0.15053762038176868,-0.00021626408550414768
0.8181818181818181,0.5528255528255528,0.15053762038176868,-0.00021626408550414768
0.8535353535353536,0.5767130767130768,0.15041805127621274,-7.85575804208957e-05
0.8888888888888888,0.6006006006006006,0.14871768944311353,0.0001231786719891755
0.9242424242424242,0.6244881244881245,0.14871768944311353,0.0001231786719891755
0.9595959595959596,0.6483756483756483,0.14609582435237023,-6.071879000198419e-05
0.9949494949494949,0.6722631722631722,0.14312801770756498,0.00014389827274498328
1.0303030303030303,0.6961506961506961,0.13971074089586452,0.00018991523022108883
1.0656565656565657,0.7200382200382202,0.13971074089586452,0.00018991523022108883
1.101010101010101,0.743925743925744,0.1362264676144996,0.00030762187712433497
1.1363636363636362,0.7678132678132678,0.13252366287762687,-0.0004396704624449454
1.1717171717171717,0.7917007917007917,0.13252366287762687,-0.0004396704624449454
1.2070707070707072,0.8155883155883157,0.12924092773437268,0.0002741872572169615
1.2424242424242424,0.8394758394758395,0.1258789976527946,0.00015336633199197302
1.2777777777777777,0.8633633633633633,0.123002347672775,0.0003473081932525758
1.3131313131313131,0.8872508872508873,0.123002347672775,0.0003473081932525758
1.3484848484848484,0.9111384111384111,0.12002769954725168,0.001181130020021473
1.3838383838383836,0.9350259350259349,0.11735836531678814,0.0007074947397520556
1.4191919191919191,0.9589134589134589,0.11735836531678814,0.0007074947397520556
1.4545454545454546,0.9828009828009828,0.11517349762190465,0.0004411934671060154
1.4898989898989898,1.0066885066885067,0.11356002766975608,0.00041757235932634153
1.5252525252525253,1.0305760305760305,0.11201889385937125,-0.0003679520380656211
1.5606060606060606,1.0544635544635543,0.11201889385937125,-0.0003679520380656211
1.595959595959596,1.0783510783510784,0.11075535590528873,0.0008834196934780525
1.6313131313131313,1.1022386022386021,0.10958416552950917,0.01012124675689887
1.6666666666666665,1.126126126126126,0.10958416552950917,0.01012124675689887
1.702020202020202,1.15001365001365,0.10892507182758886,0.052492626629207846
1.7373737373737372,1.1739011739011738,0.10895751098770211,0.06763519175826548
1.7727272727272727,1.1977886977886978,0.10895751098770211,0.06763519175826548
1.808080808080808,1.2216762216762216,0.10751602066684816,0.07307665767838867
1.8434343434343434,1.2455637455637456,0.10748309093283476,0.08186873907906725
1.8787878787878787,1.2694512694512694,0.11194854085875229,0.002006327077168608
1.9141414141414141,1.2933387933387934,0.11194854085875229,0.002006327077168608
1.9494949494949494,1.3172263172263172,0.10699655316980047,0.08453543058422308
1.9848484848484849,1.3411138411138412,0.10676903129538577,0.0764619592372539
2.02020202020202,1.3650013650013648,0.10676903129538577,0.0764619592372539
2.0555555555555554,1.3888888888888888,0.10682256926168202,0.07138325976551896
2.090909090909091,1.4127764127764126,0.09824805448967609,0.02862258977833339
2.1262626262626263,1.4366639366639367,0.10562474471403276,0.07187313840060344
2.1616161616161618,1.4605514605514607,0.10562474471403276,0.07187313840060344
2.196969696969697,1.4844389844389843,0.10614117031184803,0.08814583701371782
2.2323232323232323,1.5083265083265083,0.09972781482993866,0.0880291303446387
2.2676767676767673,1.532214032214032,0.09972781482993866,0.0880291303446387
2.3030303030303028,1.5561015561015559,0.10040869347894639,0.0978983425534137
2.3383838383838382,1.57998907998908,0.09959803281474926,0.09985799107751642
2.3737373737373737,1.603876603876604,0.09959803281474926,0.09985799107751642
2.409090909090909,1.627764127764128,0.0984447889497889,0.10193838964871793
2.4444444444444446,1.6516516516516517,0.09873361621425052,0.10954910922466844
2.4797979797979797,1.6755391755391755,0.09962165623196403,0.09158010991753411
2.515151515151515,1.6994266994266993,0.09962165623196403,0.09158010991753411
2.5505050505050506,1.7233142233142233,0.09894695515231618,0.0913771532394895
2.5858585858585856,1.7472017472017471,0.09628835027835617,0.10005934454064744
2.621212121212121,1.771089271089271,0.09628835027835617,0.10005934454064744
2.6565656565656566,1.794976794976795,0.09959358775100795,0.08960518110810026
2.691919191919192,1.818864318864319,0.09860530553232999,0.07904107115173145
2.727272727272727,1.8427518427518426,0.09511355232500032,0.09084422267460836
2.7626262626262625,1.8666393666393666,0.09511355232500032,0.09084422267460836
2.797979797979798,1.8905268905268906,0.09524876302007977,0.08229214548141654
2.833333333333333,1.9144144144144142,0.0951279928674044,0.07823524397796319
2.8686868686868685,1.9383019383019382,0.0951279928674044,0.07823524397796319
2.904040404040404,1.9621894621894622,0.09356933066897206,0.07444293989190205
2.9393939393939394,1.9860769860769862,0.09025647950117655,0.060258813954898585
2.9747474747474745,2.00996450996451,0.09025647950117655,0.060258813954898585
3.01010101010101,2.0338520338520336,0.09495786456987847,0.0672891452496095
3.0454545454545454,2.057739557739558,0.09032100817536111,0.06665831581104945
3.080808080808081,2.0816270816270817,0.09184576369340895,0.07784105667737236
3.116161616161616,2.1055146055146055,0.09184576369340895,0.07784105667737236
3.1515151515151514,2.1294021294021293,0.09339273714521759,0.061616977056988625
3.186868686868687,2.1532896532896535,0.08841545342012905,0.05959245810999092
3.2222222222222223,2.1771771771771773,0.08841545342012905,0.05959245810999092
3.2575757575757573,2.201064701064701,0.0868602368201907,0.06655120749825874
3.292929292929293,2.224952224952225,0.08968640472088307,0.0568133613044963
3.3282828282828283,2.2488397488397487,0.08806265730682125,0.05346859981731348
3.3636363636363633,2.2727272727272725,0.08806265730682125,0.05346859981731348
3.398989898989899,2.2966147966147963,0.08570163438343663,0.001552521872756547
3.4343434343434343,2.3205023205023205,0.08615856343468924,0.0006846706787993662
3.4696969696969697,2.3443898443898443,0.08615856343468924,0.0006846706787993662
3.5050505050505047,2.368277368277368,0.0874770951434474,0.029277679549647898
3.54040404040404,2.392164892164892,0.0848796337706195,0.0417248368046749
3.5757575757575757,2.416052416052416,0.08474521418337078,0.03552875620935072
3.611111111111111,2.43993993993994,0.08474521418337078,0.03552875620935072
3.646464646464646,2.4638274638274638,0.08527549818822672,0.03749585353136628
3.6818181818181817,2.4877149877149876,0.0867926486858396,0.03162827313025605
3.717171717171717,2.511602511602512,0.0867926486858396,0.03162827313025605
3.7525252525252526,2.5354900354900356,0.08537293361949944,0.038409593683549355
3.7878787878787876,2.5593775593775594,0.08358292249059932,0.023924725151808005
3.823232323232323,2.583265083265083,0.08358292249059932,0.023924725151808005
3.8585858585858586,2.607152607152607,0.08363681482364023,0.006844064927728245
3.8939393939393936,2.631040131040131,0.08374678590719593,0.001507798671623191
3.929292929292929,2.6549276549276546,0.08215758217377517,0.004024778284899349
3.9646464646464645,2.678815178815179,0.08215758217377517,0.004024778284899349
4.0,2.7027027027027026,0.08040701826730441,0.010925142399637393
